date,conference,team,opponent,points,opponent_points,rebounds,assists,spread,ats_result,team_rank,opponent_rank,bubble_status,auto_bid_status,source
2026-02-12,SEC,Auburn,Alabama,82,76,39,18,-3.5,W,4,15,LOCK,AUTO_BID,manual-public-boxscore
2026-02-08,SEC,Auburn,Florida,71,69,35,15,-1.5,W,5,12,LOCK,AUTO_BID,manual-public-boxscore
2026-02-04,SEC,Auburn,Kentucky,74,77,33,14,-2.5,L,6,20,LOCK,AUTO_BID,manual-public-boxscore
2026-02-11,Big 12,Houston,Baylor,68,60,34,12,-5.0,W,3,19,LOCK,AUTO_BID,manual-public-boxscore
2026-02-07,Big 12,Houston,Kansas,75,70,36,11,-2.0,W,3,16,LOCK,AUTO_BID,manual-public-boxscore
2026-02-03,Big 12,Houston,Iowa State,61,63,31,10,-1.0,L,4,10,LOCK,AUTO_BID,manual-public-boxscore
2026-02-13,Big East,UConn,Marquette,79,72,37,17,1.5,W,14,11,WORK,AUTO_BID,manual-public-boxscore
2026-02-09,Big East,UConn,Creighton,65,68,30,13,-2.5,L,15,24,WORK,AUTO_BID,manual-public-boxscore
2026-02-05,Big East,UConn,St. John's,83,70,38,19,2.0,W,16,22,WORK,AUTO_BID,manual-public-boxscore
2026-02-12,ACC,Duke,North Carolina,84,79,40,21,-4.0,W,8,29,LOCK,AUTO_BID,manual-public-boxscore
2026-02-08,ACC,Duke,Clemson,73,75,32,16,-5.0,L,8,27,LOCK,AUTO_BID,manual-public-boxscore
2026-02-04,ACC,Duke,Virginia,70,58,34,14,-6.0,W,9,38,LOCK,AUTO_BID,manual-public-boxscore
2026-02-12,Big Ten,Indiana,Illinois,72,74,33,13,2.5,L,42,21,BUBBLE,AT_LARGE_TRACK,manual-public-boxscore
2026-02-09,Big Ten,Indiana,Purdue,77,73,35,16,4.5,W,44,9,BUBBLE,AT_LARGE_TRACK,manual-public-boxscore
2026-02-05,Big Ten,Indiana,Wisconsin,69,66,31,12,1.5,W,46,26,BUBBLE,AT_LARGE_TRACK,manual-public-boxscore
2026-02-11,Mountain West,Boise State,San Diego State,70,67,32,12,3.0,W,39,31,BUBBLE,AT_LARGE_TRACK,manual-public-boxscore
2026-02-07,Mountain West,Boise State,Nevada,63,65,29,11,-2.0,L,40,45,BUBBLE,AT_LARGE_TRACK,manual-public-boxscore
2026-02-03,Mountain West,Boise State,Utah State,75,71,34,15,1.0,W,41,33,BUBBLE,AT_LARGE_TRACK,manual-public-boxscore
2026-02-10,AAC,Memphis,Florida Atlantic,80,74,36,17,-4.5,W,23,48,WORK,AUTO_BID,manual-public-boxscore
2026-02-06,AAC,Memphis,SMU,68,72,30,14,-3.0,L,24,59,WORK,AUTO_BID,manual-public-boxscore
2026-02-02,AAC,Memphis,North Texas,77,70,35,18,-2.0,W,25,55,WORK,AUTO_BID,manual-public-boxscore
